taz,geog_name,lat_1,lon_1
3317,Puyallup South Hill,47.15623502,-122.2867533
3051,Lakewood,47.16198611,-122.5100593
3314,Puyallup South Hill,47.15623502,-122.2867533
3315,Puyallup South Hill,47.15623502,-122.2867533
3046,Lakewood,47.16198611,-122.5100593
3022,Lakewood,47.16198611,-122.5100593
3284,Puyallup Downtown,47.19040648,-122.2940926
3237,Puyallup Downtown,47.19040648,-122.2940926
3240,Puyallup Downtown,47.19040648,-122.2940926
2959,Tacoma Mall,47.21978404,-122.4725101
2962,Tacoma Mall,47.21978404,-122.4725101
2963,Tacoma Mall,47.21978404,-122.4725101
2961,Tacoma Mall,47.21978404,-122.4725101
2958,Tacoma Mall,47.21978404,-122.4725101
2947,University Place,47.22977705,-122.5360806
2911,Tacoma Downtown,47.24845203,-122.4403625
2903,Tacoma Downtown,47.24845203,-122.4403625
2899,Tacoma Downtown,47.24845203,-122.4403625
2920,Tacoma Downtown,47.24845203,-122.4403625
2918,Tacoma Downtown,47.24845203,-122.4403625
2910,Tacoma Downtown,47.24845203,-122.4403625
2916,Tacoma Downtown,47.24845203,-122.4403625
3110,Tacoma Downtown,47.24845203,-122.4403625
2901,Tacoma Downtown,47.24845203,-122.4403625
2902,Tacoma Downtown,47.24845203,-122.4403625
2907,Tacoma Downtown,47.24845203,-122.4403625
2898,Tacoma Downtown,47.24845203,-122.4403625
2909,Tacoma Downtown,47.24845203,-122.4403625
2915,Tacoma Downtown,47.24845203,-122.4403625
3108,Tacoma Downtown,47.24845203,-122.4403625
2906,Tacoma Downtown,47.24845203,-122.4403625
2939,University Place,47.22977705,-122.5360806
3109,Tacoma Downtown,47.24845203,-122.4403625
2923,Tacoma Downtown,47.24845203,-122.4403625
2919,Tacoma Downtown,47.24845203,-122.4403625
2917,Tacoma Downtown,47.24845203,-122.4403625
2900,Tacoma Downtown,47.24845203,-122.4403625
2897,Tacoma Downtown,47.24845203,-122.4403625
2908,Tacoma Downtown,47.24845203,-122.4403625
2914,Tacoma Downtown,47.24845203,-122.4403625
2905,Tacoma Downtown,47.24845203,-122.4403625
2913,Tacoma Downtown,47.24845203,-122.4403625
2904,Tacoma Downtown,47.24845203,-122.4403625
3105,Tacoma Downtown,47.24845203,-122.4403625
2873,Tacoma Downtown,47.24845203,-122.4403625
2880,Tacoma Downtown,47.24845203,-122.4403625
2893,Tacoma Downtown,47.24845203,-122.4403625
2879,Tacoma Downtown,47.24845203,-122.4403625
2858,Tacoma Downtown,47.24845203,-122.4403625
2862,Tacoma Downtown,47.24845203,-122.4403625
2896,Tacoma Downtown,47.24845203,-122.4403625
2867,Tacoma Downtown,47.24845203,-122.4403625
2872,Tacoma Downtown,47.24845203,-122.4403625
2878,Tacoma Downtown,47.24845203,-122.4403625
2885,Tacoma Downtown,47.24845203,-122.4403625
2856,Tacoma Downtown,47.24845203,-122.4403625
2861,Tacoma Downtown,47.24845203,-122.4403625
2866,Tacoma Downtown,47.24845203,-122.4403625
2871,Tacoma Downtown,47.24845203,-122.4403625
2877,Tacoma Downtown,47.24845203,-122.4403625
2884,Tacoma Downtown,47.24845203,-122.4403625
2890,Tacoma Downtown,47.24845203,-122.4403625
2855,Tacoma Downtown,47.24845203,-122.4403625
2895,Tacoma Downtown,47.24845203,-122.4403625
2860,Tacoma Downtown,47.24845203,-122.4403625
2892,Tacoma Downtown,47.24845203,-122.4403625
2865,Tacoma Downtown,47.24845203,-122.4403625
2889,Tacoma Downtown,47.24845203,-122.4403625
2870,Tacoma Downtown,47.24845203,-122.4403625
2876,Tacoma Downtown,47.24845203,-122.4403625
2883,Tacoma Downtown,47.24845203,-122.4403625
2888,Tacoma Downtown,47.24845203,-122.4403625
2854,Tacoma Downtown,47.24845203,-122.4403625
2859,Tacoma Downtown,47.24845203,-122.4403625
2864,Tacoma Downtown,47.24845203,-122.4403625
2887,Tacoma Downtown,47.24845203,-122.4403625
2869,Tacoma Downtown,47.24845203,-122.4403625
2875,Tacoma Downtown,47.24845203,-122.4403625
2882,Tacoma Downtown,47.24845203,-122.4403625
2891,Tacoma Downtown,47.24845203,-122.4403625
2886,Tacoma Downtown,47.24845203,-122.4403625
2853,Tacoma Downtown,47.24845203,-122.4403625
2863,Tacoma Downtown,47.24845203,-122.4403625
