description,generic_land_use_type_id,land_use_name,land_use_type_id,unit_name
Agriculture,8,agriculture,1,building_sqft
Civic and Quasi-Public,7,civic,2,building_sqft
Commercial,4,commercial,3,building_sqft
Fisheries,8,fisheries,4,building_sqft
"Forest, harvestable",8,forest,5,parcel_sqft
"Forest, protected",8,forest,6,parcel_sqft
Government,7,government,7,building_sqft
Group Quarters,8,group_quarters,8,building_sqft
"Hospital, Convalescent Center",7,hosptial,9,building_sqft
Industrial,5,industrial,10,building_sqft
Military,7,military,11,building_sqft
Mining,8,mining,12,building_sqft
Mobile Home Park,1,mobile_home,13,building_sqft
Multi-Family Residential,2,multi_family_residential,14,building_sqft
Condo Residential,2,condo_residential,15,building_sqft
n/a,9,NA,16,parcel_sqft
No Land Use Code,9,NA,17,parcel_sqft
Office,3,office,18,building_sqft
Park and Open Space,8,park,19,parcel_sqft
Parking,8,parking,20,building_sqft
Recreation,8,recreation,21,building_sqft
Right-of-Way,8,right_of_way,22,building_sqft
School,8,school,23,building_sqft
Single Family Residential,1,single_family_residential,24,building_sqft
"Transportation, Communication, Utilities",5,tcu,25,building_sqft
Vacant Developable,9,vacant,26,parcel_sqft
Vacant Undevelopable,9,vacant,27,parcel_sqft
Warehousing,5,warehousing,28,building_sqft
Water,9,water,29,parcel_sqft
Mixed Use,6,mixed_use,30,building_sqft
