coefficient_name,value,constrain
coef_escort_tour_asc,0.0,F
coef_othdiscr_tour_asc,0.0,F
coef_shopping_tour_asc,0.0,F
coef_othmaint_tour_asc,0.0,F
coef_social_tour_asc,0.0,F
coef_eatout_tour_asc,0.0,F
coef_1_escort_tour_asc,-2.1837065270787104,F
coef_2_plus_escort_tours_asc,-2.2843410153844594,F
coef_1_plus_shopping_tours_asc,1.85264448763585,F
coef_1_plus_othmaint_tours_asc,0.5394193572022841,F
coef_1_plus_eatout_tours_asc,-2.3869004018741418,F
coef_1_plus_social_tours_asc,0.0,F
coef_1_plus_othdiscr_tours_asc,-0.9253102412363147,F
coef_total_number_of_tours_is_0_no_prior_tours_asc,-999.0,T
coef_total_number_of_tours_is_0_prior_tours_asc,0.0,T
coef_total_number_of_tours_is_1_no_prior_tours_asc,0.0,T
coef_total_number_of_tours_is_1_prior_tours_asc,-2.4145986120019534,F
coef_total_number_of_tours_is_2_asc,-18.11664833084968,F
coef_total_number_of_tours_is_3_asc,-21.211092429521422,F
coef_total_number_of_tours_is_4_asc,-23.489208707567865,F
coef_total_number_of_tours_is_5_asc,-24.840352606439353,F
coef_total_number_of_tours_is_6_plus_asc,-999.0,T
coef_number_of_mandatory_tours_tour_frequency_is_0,0.0,F
coef_number_of_mandatory_tours_tour_frequency_is_1,0.0,F
coef_number_of_mandatory_tours_tour_frequency_is_2_plus,0.0,F
coef_number_of_joint_tours_tour_frequency_is_0,0.0,F
coef_number_of_joint_tours_tour_frequency_is_1_prior_tours,0.0,F
coef_number_of_joint_tours_tour_frequency_is_2_plus,-1.8816199312997988,F
coef_number_of_joint_shopping_tours,0.0,F
coef_number_of_joint_othmaint_tours,0.0,F
coef_number_of_joint_eatout_tours,0.0,F
coef_number_of_joint_social_tours,0.0,F
coef_number_of_joint_othdiscr_tours,0.0,F
coef_logged_maximum_residual_window_tour_frequency_is_0_prior_tours,0.0,F
coef_logged_maximum_residual_window_tour_frequency_is_1_prior_tours,0.0,F
coef_logged_maximum_residual_window_tour_frequency_is_2_plus_prior_tours,0.0,F
coef_logged_max_consec_hours_available_7am_to_10pm_tour_frequency_is_0,0.0,F
coef_logged_max_consec_hours_available_7am_to_10pm_tour_frequency_is_1_prior_tours,0.0,F
coef_logged_max_consec_hours_available_7am_to_10pm_tour_frequency_is_2_plus,0.0,F
coef_logged_total_hours_available_7am_to_10pm_tour_frequency_is_0,0.0,F
coef_logged_total_hours_available_7am_to_10pm_tour_frequency_is_1_prior_tours,0.0,F
coef_logged_total_hours_available_7am_to_10pm_tour_frequency_is_2_plus,7.717123318077396,F
coef_income_less_than_25k_tour_frequency_is_1_prior_tours,0.0,F
coef_income_less_than_25k_tour_frequency_is_2_plus,0.0,F
coef_income_between_25k_50k_tour_frequency_is_1_prior_tours,0.0,F
coef_income_between_25k_50k_tour_frequency_is_2_plus,0.0,F
coef_income_between_100k_150k_tour_frequency_is_1_prior_tours,0.0,F
coef_income_between_100k_150k_tour_frequency_is_2_plus,0.0,F
coef_income_150k_or_more_tour_frequency_is_1_prior_tours,0.0,F
coef_income_150k_or_more_tour_frequency_is_2_plus,0.0,F
coef_income_less_than_25k_shopping_tour,0.0,F
coef_income_between_25k_50k_shopping_tour,0.0,F
coef_income_between_100k_150k_shopping_tour,0.0,F
coef_income_150k_or_more_shopping_tour,0.0,F
coef_income_less_than_25k_othmaint_tour,0.0,F
coef_income_between_25k_50k_othmaint_tour,0.0,F
coef_income_between_100k_150k_othmaint_tour,0.0,F
coef_income_150k_or_more_othmaint_tour,-0.3626103304382595,F
coef_income_less_than_25k_eatout_tour,0.0,F
