coefficient_name,value,constrain
coef_escort_tour_asc,0.0,F
coef_othdiscr_tour_asc,0.0,F
coef_shopping_tour_asc,0.0,F
coef_othmaint_tour_asc,0.0,F
coef_social_tour_asc,0.0,F
coef_eatout_tour_asc,0.0,F
coef_1_escort_tour_asc,-13.469777101720044,F
coef_2_plus_escort_tours_asc,-22.935046839745844,F
coef_1_plus_shopping_tours_asc,-3.6977940638975095,F
coef_1_plus_othmaint_tours_asc,-1.7929212223722943,F
coef_1_plus_eatout_tours_asc,-3.6756525696658215,F
coef_1_plus_social_tours_asc,0.0,F
coef_1_plus_othdiscr_tours_asc,-6.2977095541239745,F
coef_total_number_of_tours_is_0_no_prior_tours_asc,-999.0,T
coef_total_number_of_tours_is_0_prior_tours_asc,0.0,T
coef_total_number_of_tours_is_1_no_prior_tours_asc,0.0,T
coef_total_number_of_tours_is_1_prior_tours_asc,-2.437472127344881,F
coef_total_number_of_tours_is_2_asc,-5.732022025063555,F
coef_total_number_of_tours_is_3_asc,-7.234297433810825,F
coef_total_number_of_tours_is_4_asc,-999.0,T
coef_total_number_of_tours_is_5_asc,-999.0,T
coef_total_number_of_tours_is_6_plus_asc,-999.0,T
coef_number_of_mandatory_tours_tour_frequency_is_0,0.0,F
coef_number_of_mandatory_tours_tour_frequency_is_1,-1.0236221281799132,F
coef_number_of_mandatory_tours_tour_frequency_is_2_plus,-2.22990462622112,F
coef_number_of_joint_tours_tour_frequency_is_0,0.0,F
coef_number_of_joint_tours_tour_frequency_is_1_prior_tours,0.0,F
coef_number_of_joint_tours_tour_frequency_is_2_plus,0.0,F
coef_number_of_joint_shopping_tours,0.0,F
coef_number_of_joint_othmaint_tours,0.0,F
coef_number_of_joint_eatout_tours,0.0,F
coef_number_of_joint_social_tours,0.0,F
coef_number_of_joint_othdiscr_tours,0.0,F
coef_logged_maximum_residual_window_tour_frequency_is_0_prior_tours,0.0,F
coef_logged_maximum_residual_window_tour_frequency_is_1_prior_tours,0.0,F
coef_logged_maximum_residual_window_tour_frequency_is_2_plus_prior_tours,0.0,F
coef_logged_max_consec_hours_available_7am_to_10pm_tour_frequency_is_0,0.0,F
coef_logged_max_consec_hours_available_7am_to_10pm_tour_frequency_is_1_prior_tours,0.0,F
coef_logged_max_consec_hours_available_7am_to_10pm_tour_frequency_is_2_plus,0.0,F
coef_logged_total_hours_available_7am_to_10pm_tour_frequency_is_0,0.0,F
coef_logged_total_hours_available_7am_to_10pm_tour_frequency_is_1_prior_tours,0.5740697490891231,F
coef_logged_total_hours_available_7am_to_10pm_tour_frequency_is_2_plus,3.3906693434051887,F
coef_income_less_than_25k_tour_frequency_is_1_prior_tours,0.0,F
coef_income_less_than_25k_tour_frequency_is_2_plus,-1.206513168953826,F
coef_income_between_25k_50k_tour_frequency_is_1_prior_tours,0.0,F
coef_income_between_25k_50k_tour_frequency_is_2_plus,0.0,F
coef_income_between_100k_150k_tour_frequency_is_1_prior_tours_plus,0.0,F
coef_income_150k_or_more_tour_frequency_is_1_prior_tours_plus,0.0,F
coef_income_less_than_25k_shopping_tour,0.0,F
coef_income_between_25k_50k_shopping_tour,0.0,F
coef_income_100k_or_more_shopping_tour,0.0,F
coef_income_less_than_25k_othmaint_tour,0.0,F
coef_income_between_25k_50k_othmaint_tour,0.0,F
coef_income_between_100k_150k_othmaint_tour,0.0,F
coef_income_150k_or_more_othmaint_tour,0.0,F
coef_income_less_than_25k_eatout_tour,-1.3953775538699424,F
coef_income_between_25k_50k_eatout_tour,0.0,F
coef_income_between_100k_150k_eatout_tour,0.0,F
coef_income_150k_or_more_eatout_tour,0.0,F
