Description,Expression,M,N,H
Full-time worker alternative-specific constants,ptype == 1,coef_full_time_worker_asc_M,coef_full_time_worker_asc_N,
Part-time worker alternative-specific constants,ptype == 2,coef_part_time_worker_asc_M,coef_part_time_worker_asc_N,
University student alternative-specific constants,ptype == 3,coef_university_student_asc_M,coef_university_student_asc_N,
Non-working adult alternative-specific constants,ptype == 4,coef_UNAVAILABLE,coef_non_working_adult_asc_N,
Retired alternative-specific constants,ptype == 5,coef_UNAVAILABLE,coef_retired_asc_N,
Driving-age child who is in school alternative-specific constants,ptype == 6,coef_driving_age_child_who_is_in_school_asc_M,coef_driving_age_child_who_is_in_school_asc_N,
Pre-driving-age child who is in school alternative-specific constants,ptype == 7,coef_pre_driving_age_child_who_is_in_school_asc_M,coef_pre_driving_age_child_who_is_in_school_asc_N,
Pre-driving-age child who is too young for school alternative-specific constants,ptype == 8,coef_pre_driving_age_child_who_is_too_young_for_school_asc_M,coef_pre_driving_age_child_who_is_too_young_for_school_asc_N,
#,,,,
#Full-time worker interaction with age less than 25,(ptype == 1) & (age < 25),coef_full_time_worker_interaction_with_age_less_than_25_M,coef_full_time_worker_interaction_with_age_less_than_25_N,
#Full-time worker interaction with age 25 to 34,(ptype == 1) & (age >= 25) & (age < 35),coef_full_time_worker_interaction_with_age_25_to_34_M,coef_full_time_worker_interaction_with_age_25_to_34_N,
#Full-time worker interaction with age 35 to 44,(ptype == 1) & (age >= 35) & (age < 45),coef_full_time_worker_interaction_with_age_35_to_44_M,coef_full_time_worker_interaction_with_age_35_to_44_N,
Part-time worker interaction with age less than 35,(ptype == 2) & (age < 35),coef_part_time_worker_interaction_with_age_less_than_35_M,coef_part_time_worker_interaction_with_age_less_than_35_N,
#Part-time worker interaction with age 25 to 34,(ptype == 2) & (age >= 25) & (age < 35),coef_part_time_worker_interaction_with_age_25_to_34_M,coef_part_time_worker_interaction_with_age_25_to_34_N,
#Part-time worker interaction with age 35 to 44,(ptype == 2) & (age >= 35) & (age < 45),coef_part_time_worker_interaction_with_age_35_to_44_M,coef_part_time_worker_interaction_with_age_35_to_44_N,
University student interaction with age less than 25,(ptype == 3) & (age < 25),coef_university_student_interaction_with_age_less_than_25_M,,
University student interaction with age 25 to 34,(ptype == 3) & (age >= 25) & (age < 35),coef_university_student_interaction_with_age_25_to_34_M,,
#University student interaction with age 35 to 44,(ptype == 3) & (age >= 35) & (age < 45),coef_university_student_interaction_with_age_35_to_44_M,coef_university_student_interaction_with_age_35_to_44_N,
Retired interaction with age 75 to 84,(ptype == 5) & (age >= 75) & (age <= 84),,,coef_retired_interaction_with_age_75_to_84_H
Retired interaction with age 85 or more,(ptype == 5) & (age >= 85),,,coef_retired_interaction_with_age_85_or_more_H
#Full-time worker interaction with female gender,(ptype == 1) & (sex == 2),coef_full_time_worker_interaction_with_female_gender_M,coef_full_time_worker_interaction_with_female_gender_N,
Part-time-time worker interaction with female gender,(ptype == 2) & (sex == 2),,coef_part_time_worker_interaction_with_female_gender_N,
University student interaction with female gender,(ptype == 3) & (sex == 2),coef_university_student_interaction_with_female_gender_M,coef_university_student_interaction_with_female_gender_N,
#Non-working adult interaction with female gender,(ptype == 4) & (sex == 2),,coef_non_working_adult_interaction_with_female_gender_N,
#Full-time worker interaction with fewer cars than adults,(ptype == 1) & (auto_ownership > 0) & (auto_ownership < num_adults),coef_full_time_worker_interaction_with_fewer_cars_than_adults_M,coef_full_time_worker_interaction_with_fewer_cars_than_adults_N,
Full-time worker interaction with zero-cars,(ptype == 1) & (auto_ownership == 0),coef_full_time_worker_interaction_with_zero_cars_M,coef_full_time_worker_interaction_with_zero_cars_N,
